# mapping_set_id: https://w3id.org/lmodel/iso42001/mappings/iso42001_to_nist_ai_rmf__nist_ai_100_1
# mapping_set_version: 0.1.0
# mapping_set_title: ISO/IEC 42001:2023 to NIST AI RMF (nist_ai_100_1 component) Schema Mappings
# mapping_set_description: Schema-level mappings between the ISO/IEC 42001:2023 (AI Management System) LinkML schema and the NIST AI RMF umbrella schema, narrowed to the NIST AI 100-1 (AI RMF 1.0 core framework) child schema. Mapping rows are identical to those in iso42001-to-nist-ai-100-1.sssom.tsv but framed from the umbrella RMF perspective; consumers integrating against the merged nist-ai-rmf schema should prefer this set.
# license: https://creativecommons.org/licenses/by/4.0/
# subject_source: https://w3id.org/lmodel/iso42001
# object_source: https://w3id.org/lmodel/nist-ai-rmf
# mapping_date: 2026-06-01
# curie_map:
#   iso42001: https://w3id.org/lmodel/iso42001/
#   nist_ai_100_1: https://w3id.org/lmodel/nist-ai-100-1/
#   nist_ai_rmf: https://w3id.org/lmodel/nist-ai-rmf/
#   owl: http://www.w3.org/2002/07/owl#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
subject_id	subject_label	subject_category	predicate_id	predicate_label	object_id	object_label	object_category	mapping_justification	comment
iso42001:relevant_authority	relevant_authority	skos:Concept	skos:closeMatch	close match	nist_ai_100_1:GOVERNANCE_AND_OVERSIGHT	GOVERNANCE_AND_OVERSIGHT	skos:Concept	semapv:LLMBasedMatching	Relevant authority maps to NIST governance and oversight actor task
iso42001:AIObjectiveCategory	AIObjectiveCategory	owl:Class	skos:closeMatch	close match	nist_ai_100_1:TrustworthinessCharacteristic	TrustworthinessCharacteristic	owl:Class	semapv:LLMBasedMatching	ISO 42001 AI objectives largely mirror NIST's seven trustworthiness characteristics (valid and reliable, safe, secure and resilient, accountable and transparent, explainable and interpretable, privacy-enhanced, fair with harmful bias managed)
iso42001:safety	safety	skos:Concept	skos:exactMatch	exact match	nist_ai_100_1:TrustworthinessCharacteristic	TrustworthinessCharacteristic	skos:Concept	semapv:LLMBasedMatching	Safety is a direct NIST trustworthiness characteristic
iso42001:security	security	skos:Concept	skos:exactMatch	exact match	nist_ai_100_1:TrustworthinessCharacteristic	TrustworthinessCharacteristic	skos:Concept	semapv:LLMBasedMatching	Secure and resilient is a NIST trustworthiness characteristic
iso42001:privacy	privacy	skos:Concept	skos:exactMatch	exact match	nist_ai_100_1:TrustworthinessCharacteristic	TrustworthinessCharacteristic	skos:Concept	semapv:LLMBasedMatching	Privacy-enhanced is a NIST trustworthiness characteristic
iso42001:fairness	fairness	skos:Concept	skos:closeMatch	close match	nist_ai_100_1:TrustworthinessCharacteristic	TrustworthinessCharacteristic	skos:Concept	semapv:LLMBasedMatching	Fair with harmful bias managed is a NIST trustworthiness characteristic
iso42001:transparency	transparency	skos:Concept	skos:closeMatch	close match	nist_ai_100_1:TrustworthinessCharacteristic	TrustworthinessCharacteristic	skos:Concept	semapv:LLMBasedMatching	Accountable and transparent is a NIST trustworthiness characteristic
iso42001:explainability	explainability	skos:Concept	skos:exactMatch	exact match	nist_ai_100_1:TrustworthinessCharacteristic	TrustworthinessCharacteristic	skos:Concept	semapv:LLMBasedMatching	Explainable and interpretable is a NIST trustworthiness characteristic
iso42001:reliability	reliability	skos:Concept	skos:closeMatch	close match	nist_ai_100_1:TrustworthinessCharacteristic	TrustworthinessCharacteristic	skos:Concept	semapv:LLMBasedMatching	Valid and reliable is a NIST trustworthiness characteristic
iso42001:accountability	accountability	skos:Concept	skos:closeMatch	close match	nist_ai_100_1:TrustworthinessCharacteristic	TrustworthinessCharacteristic	skos:Concept	semapv:LLMBasedMatching	Accountability is paired with transparency in NIST's enumeration
iso42001:robustness	robustness	skos:Concept	skos:closeMatch	close match	nist_ai_100_1:TrustworthinessCharacteristic	TrustworthinessCharacteristic	skos:Concept	semapv:LLMBasedMatching	Robustness falls within NIST's valid-and-reliable and secure-and-resilient characteristics
iso42001:RiskTreatmentOption	RiskTreatmentOption	owl:Class	skos:exactMatch	exact match	nist_ai_100_1:RiskResponseEnum	RiskResponseEnum	owl:Class	semapv:LLMBasedMatching	ISO/IEC 31000 risk-treatment options (modify, accept, avoid, share) align directly with NIST's risk-response enumeration
iso42001:modify	modify	skos:Concept	skos:exactMatch	exact match	nist_ai_100_1:MITIGATING	MITIGATING	skos:Concept	semapv:LLMBasedMatching	Modify (treat) the risk
iso42001:accept	accept	skos:Concept	skos:exactMatch	exact match	nist_ai_100_1:ACCEPTING	ACCEPTING	skos:Concept	semapv:LLMBasedMatching	Accept the residual risk
iso42001:avoid	avoid	skos:Concept	skos:exactMatch	exact match	nist_ai_100_1:AVOIDING	AVOIDING	skos:Concept	semapv:LLMBasedMatching	Avoid the activity that creates the risk
iso42001:share	share	skos:Concept	skos:exactMatch	exact match	nist_ai_100_1:TRANSFERRING	TRANSFERRING	skos:Concept	semapv:LLMBasedMatching	Share/transfer the risk (insurance, contracts, joint ventures)
iso42001:AIIncidentCategory	AIIncidentCategory	owl:Class	skos:closeMatch	close match	nist_ai_100_1:HarmCategoryEnum	HarmCategoryEnum	owl:Class	semapv:LLMBasedMatching	Both enumerate categories of AI harm; ISO enumerates specific incident types while NIST partitions harms by impacted entity
iso42001:bias_incident	bias_incident	skos:Concept	skos:closeMatch	close match	nist_ai_100_1:HARM_TO_PEOPLE	HARM_TO_PEOPLE	skos:Concept	semapv:LLMBasedMatching	Bias incidents predominantly cause harm to people
iso42001:adverse_societal_impact	adverse_societal_impact	skos:Concept	skos:closeMatch	close match	nist_ai_100_1:HARM_TO_AN_ECOSYSTEM	HARM_TO_AN_ECOSYSTEM	skos:Concept	semapv:LLMBasedMatching	Societal-scale harm aligns with NIST harm-to-an-ecosystem
iso42001:privacy_breach	privacy_breach	skos:Concept	skos:closeMatch	close match	nist_ai_100_1:HARM_TO_PEOPLE	HARM_TO_PEOPLE	skos:Concept	semapv:LLMBasedMatching	Privacy breaches harm the individuals whose data is exposed
iso42001:security_breach	security_breach	skos:Concept	skos:closeMatch	close match	nist_ai_100_1:HARM_TO_AN_ORGANIZATION	HARM_TO_AN_ORGANIZATION	skos:Concept	semapv:LLMBasedMatching	Security breaches typically harm the operating organisation
iso42001:AIRiskSourceCategory	AIRiskSourceCategory	owl:Class	skos:closeMatch	close match	nist_ai_100_1:RiskMeasurementChallengeEnum	RiskMeasurementChallengeEnum	owl:Class	semapv:LLMBasedMatching	Risk sources in ISO 42001 overlap with the measurement-challenge categories NIST identifies as drivers of AI-specific risk
iso42001:lack_of_transparency_or_explainability	lack_of_transparency_or_explainability	skos:Concept	skos:exactMatch	exact match	nist_ai_100_1:INSCRUTABILITY	INSCRUTABILITY	skos:Concept	semapv:LLMBasedMatching	Direct equivalent (opacity / inscrutability)
iso42001:machine_learning_specific	machine_learning_specific	skos:Concept	skos:closeMatch	close match	nist_ai_100_1:TRACKING_EMERGENT_RISKS	TRACKING_EMERGENT_RISKS	skos:Concept	semapv:LLMBasedMatching	ML-specific risks include emergent behaviours that NIST flags as a measurement challenge
iso42001:lifecycle	lifecycle	skos:Concept	skos:exactMatch	exact match	nist_ai_100_1:RISK_AT_DIFFERENT_LIFECYCLE_STAGES	RISK_AT_DIFFERENT_LIFECYCLE_STAGES	skos:Concept	semapv:LLMBasedMatching	Lifecycle-stage risk source is identical to NIST's measurement challenge category
iso42001:ai_system_purpose	ai_system_purpose	owl:ObjectProperty	skos:closeMatch	close match	nist_ai_100_1:application_domain	application_domain	owl:ObjectProperty	semapv:LLMBasedMatching	Both slots capture the deployment context and intended purpose of an AI system
iso42001:intended_uses	intended_uses	owl:ObjectProperty	skos:closeMatch	close match	nist_ai_100_1:intended_use	intended_use	owl:ObjectProperty	semapv:LLMBasedMatching	Intended use(s) for the AI system
iso42001:foreseeable_misuse	foreseeable_misuse	owl:ObjectProperty	skos:closeMatch	close match	nist_ai_100_1:potential_misuse	potential_misuse	owl:ObjectProperty	semapv:LLMBasedMatching	Foreseeable / potential misuse scenarios (both MAP-1 / 6.1.4 expectations)
iso42001:human_oversight_required	human_oversight_required	owl:ObjectProperty	skos:closeMatch	close match	nist_ai_100_1:human_ai_configuration	human_ai_configuration	owl:ObjectProperty	semapv:LLMBasedMatching	Human-oversight specification corresponds to NIST's human-AI configuration consideration
iso42001:lifecycle_stage	lifecycle_stage	owl:ObjectProperty	skos:exactMatch	exact match	nist_ai_100_1:lifecycle_stage	lifecycle_stage	owl:ObjectProperty	semapv:LLMBasedMatching	AI-system lifecycle stage reference (slot names match)
iso42001:ai_system_events	ai_system_events	owl:ObjectProperty	skos:relatedMatch	related match	nist_ai_100_1:harms	harms	owl:ObjectProperty	semapv:LLMBasedMatching	System events that escalate to incidents/harms; NIST tracks harms directly
iso42001:risks_identified	risks_identified	owl:ObjectProperty	skos:closeMatch	close match	nist_ai_100_1:risks	risks	owl:ObjectProperty	semapv:LLMBasedMatching	Identified risks attached to a system or assessment
iso42001:risk_treatment_option	risk_treatment_option	owl:ObjectProperty	skos:closeMatch	close match	nist_ai_100_1:risk_response	risk_response	owl:ObjectProperty	semapv:LLMBasedMatching	Chosen treatment / response option
iso42001:residual_risk_acceptance	residual_risk_acceptance	owl:ObjectProperty	skos:closeMatch	close match	nist_ai_100_1:residual_risk	residual_risk	owl:ObjectProperty	semapv:LLMBasedMatching	Both express the residual risk after treatment
